Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,3.05311331771918E-16,-1.11022302462516E-16,-0.0293845287670849,0,0,0,5.72299502760058,0.0838051740178236,1.07898325217893E-05,1.44892603126339E-17,0.174992079709937,1.22782652502483E-17,0.23668653759848,0,0,0,0,0,0,package://correctedX/meshes/Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/Base.STL,,base_frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFThigh,-0.0387578568606957,0.039589515900732,-0.0212016687341889,0,0,0,0.812325047815779,0.00424037590071737,0.00346701885665273,0.000273963146360504,0.00409314939372606,-0.000279841797704061,0.00801849587199561,0,0,0,0,0,0,package://correctedX/meshes/LFThigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/LFThigh.STL,,upper_leg-4,Origin_LFHipJ,Axis1 <base_frame-1>,LFHipJ,continuous,0.289999999999996,0.2,0,1.5707963267949,-1.5707963267949,0,Base,0,0,1,,,,,,,,,,,,
LFShin,-0.00478824523565313,-0.0667368478021353,-0.00408848059505523,0,0,0,0.66429466740859,0.00591198422638477,-0.000394422962493395,-1.88033950698927E-05,0.000429105284715045,-0.000262074988473659,0.00610154014164887,0,0,0,0,0,0,package://correctedX/meshes/LFShin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/LFShin.STL,,lower_leg-5,Origin_LFKnee,Axis1 <lower_leg-5>,LFKnee,continuous,-0.20287281059363,0.207226018448076,-0.05,-3.14159265358979,0,2.34557986744127,LFThigh,0,0,1,,,,,,,,,,,,
LeftFrontWheel,1.11022302462516E-16,0,-0.00799999999999998,0,0,0,0.0401045153174185,1.08673877032686E-05,-1.27054942088145E-21,6.81872803857465E-22,1.08673877032686E-05,1.86982953664045E-22,2.00321016958556E-05,0,0,0,0,0,0,package://correctedX/meshes/LeftFrontWheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/LeftFrontWheel.STL,,wheel-2,Origin_LeftFrontWheelJoint,Axis1 <wheel-2>,LeftFrontWheelJoint,continuous,-0.0208189655172384,-0.289251742734234,-0.002,0,0,-1.64264767058275,LFShin,0,0,1,,,,,,,,,,,,
RightFrontThigh,0.0387578568606952,-0.0395895159007323,0.0212016687341888,0,0,0,0.81232504781578,0.00424037590071745,0.00346701885665273,0.000273963146360501,0.00409314939372598,-0.000279841797704064,0.00801849587199561,0,0,0,0,0,0,package://correctedX/meshes/RightFrontThigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/RightFrontThigh.STL,,upper_leg-1,Origin_RightFrontHip,Axis4 <base_frame-1>,RightFrontHip,continuous,0.29,-0.2,0,1.5707963267949,1.5707963267949,0,Base,0,0,-1,,,,,,,,,,,,
RightFrontShin,-1.51167381730599E-05,0.0669083994614005,0.0209115194049448,0,0,0,0.664294667408591,0.00594021167175918,2.24027883792968E-06,-5.93632919882628E-08,0.000400877839340645,0.000262748670264234,0.00610154014164887,0,0,0,0,0,0,package://correctedX/meshes/RightFrontShin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/RightFrontShin.STL,,lower_leg-2,Origin_RightFrontKnee,Axis1 <lower_leg-2>,RightFrontKnee,continuous,0.202872810593622,-0.207226018448081,0.025,0,0,-0.724161442360665,RightFrontThigh,0,0,1,,,,,,,,,,,,
RightFrontWheel,0,0,0.00800000000000001,0,0,0,0.0401045153174186,1.08673877032686E-05,1.27054942088145E-21,-4.72413183558584E-23,1.08673877032686E-05,-5.30984571681279E-23,2.00321016958557E-05,0,0,0,0,0,0,package://correctedX/meshes/RightFrontWheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/RightFrontWheel.STL,,wheel-1,Origin_RightFrontWheelJoint,Axis1 <wheel-1>,RightFrontWheelJoint,continuous,0,0.29,0.00700000000000001,0,0,1.5707963267949,RightFrontShin,0,0,-1,,,,,,,,,,,,
LeftRearThight,0.0387578568606952,0.0395895159007324,-0.0212016687341889,0,0,0,0.812325047815779,0.00424037590071745,-0.00346701885665273,-0.000273963146360501,0.00409314939372597,-0.000279841797704064,0.0080184958719956,0,0,0,0,0,0,package://correctedX/meshes/LeftRearThight.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/LeftRearThight.STL,,upper_leg-3,Origin_LeftRearJoint,Axis2 <base_frame-1>,LeftRearJoint,continuous,-0.29,0.2,0,1.5707963267949,1.5707963267949,0,Base,0,0,1,,,,,,,,,,,,
LeftRearShin,-1.51167381730395E-05,0.0669083994614006,-0.00408848059505501,0,0,0,0.66429466740859,0.00594021167175917,2.24027883792944E-06,-5.93632919882906E-08,0.000400877839340643,0.000262748670264234,0.00610154014164886,0,0,0,0,0,0,package://correctedX/meshes/LeftRearShin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/LeftRearShin.STL,,lower_leg-6,Origin_LeftRearKnee,Axis1 <lower_leg-6>,LeftRearKnee,continuous,0.202872810593622,0.207226018448081,-0.05,3.14159265358979,0,0.724161442360665,LeftRearThight,0,0,1,,,,,,,,,,,,
LeftRearWheel,0,-6.50521303491303E-19,-0.00800000000000001,0,0,0,0.0401045153174185,1.08673877032685E-05,1.27054942088145E-21,6.28608726114599E-22,1.08673877032685E-05,8.98964126596292E-22,2.00321016958557E-05,0,0,0,0,0,0,package://correctedX/meshes/LeftRearWheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/LeftRearWheel.STL,,wheel-3,Origin_LeftRearWheelJoint,Axis1 <wheel-3>,LeftRearWheelJoint,continuous,0,0.29,-0.00199999999999992,0,0,1.5707963267949,LeftRearShin,0,0,1,,,,,,,,,,,,
RightRearThigh,0.0387578568606951,0.0395895159007324,0.0212016687341888,0,0,0,0.81232504781578,0.00424037590071745,-0.00346701885665273,0.000273963146360501,0.00409314939372598,0.000279841797704065,0.00801849587199561,0,0,0,0,0,0,package://correctedX/meshes/RightRearThigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/RightRearThigh.STL,,upper_leg-2,Origin_RightRearHip,Axis3 <base_frame-1>,RightRearHip,continuous,-0.29,-0.2,0,1.5707963267949,1.5707963267949,0,Base,0,0,-1,,,,,,,,,,,,
RightRearShin,-0.00478824523565417,-0.0667368478021352,0.0209115194049447,0,0,0,0.664294667408591,0.00591198422638477,-0.000394422962493481,-1.88033950698971E-05,0.000429105284715057,-0.000262074988473661,0.00610154014164888,0,0,0,0,0,0,package://correctedX/meshes/RightRearShin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/RightRearShin.STL,,lower_leg-1,Origin_RightRearKnee,Axis2 <lower_leg-1>,RightRearKnee,continuous,0.202872810593622,0.207226018448081,0.0250000000000001,0,0,0.796012786148536,RightRearThigh,0,0,1,,,,,,,,,,,,
RightRearWheel,1.38777878078145E-17,6.93889390390723E-18,0.00800000000000001,0,0,0,0.0401045153174186,1.08673877032686E-05,-1.27054942088145E-21,3.13115167126485E-23,1.08673877032686E-05,-1.53038642499832E-23,2.00321016958557E-05,0,0,0,0,0,0,package://correctedX/meshes/RightRearWheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://correctedX/meshes/RightRearWheel.STL,,wheel-4,Origin_RightRearWheelJoint,Axis1 <wheel-4>,RightRearWheelJoint,continuous,-0.0208189655172415,-0.289251742734235,0.0069999999999999,0,0,-1.64264767058277,RightRearShin,0,0,1,,,,,,,,,,,,
